Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Antonio Harvey,PF,31,SEA,5,3,47,3.1,9.2,.333,0.0,0.0, ,3.1,9.2,.333,0.8,1.5,.500,3.8,3.1,6.9,3.8,0.8,2.3,2.3,6.1,6.9
Donnell Harvey,PF,21,TOT,47,4,841,4.6,9.3,.498,0.0,0.0, ,4.6,9.3,.498,2.3,3.9,.600,3.4,6.3,9.7,1.6,0.9,1.0,1.4,4.9,11.6
Donnell Harvey,PF,21,DAL,18,0,162,3.1,5.8,.538,0.0,0.0, ,3.1,5.8,.538,2.2,4.9,.455,2.7,7.6,10.2,1.1,0.9,1.1,1.8,6.0,8.4
Donnell Harvey,PF,21,DEN,29,4,679,5.0,10.1,.492,0.0,0.0, ,5.0,10.1,.492,2.3,3.6,.647,3.6,6.0,9.6,1.7,0.9,1.0,1.3,4.7,12.3
Trenton Hassell,SG,22,CHI,78,47,2237,4.3,10.1,.425,1.0,2.7,.364,3.3,7.5,.447,1.4,1.8,.763,1.0,3.1,4.1,2.8,0.9,0.7,1.6,3.0,11.0
Kirk Haston,PF,22,CHH,15,0,77,5.1,18.2,.282,0.0,1.4,.000,5.1,16.8,.306,1.9,3.7,.500,2.3,7.0,9.4,2.3,0.0,0.5,1.4,4.2,12.2
Brendan Haywood,C,22,WAS,62,2,1266,3.1,6.3,.493,0.0,0.0, ,3.1,6.3,.493,2.8,4.5,.606,4.1,5.1,9.2,0.8,0.6,2.6,1.4,4.5,9.0
Alan Henderson,PF,29,ATL,26,1,422,5.0,9.9,.509,0.1,0.1,1.000,4.9,9.8,.504,2.0,3.8,.533,2.6,5.6,8.3,0.9,0.9,1.3,1.8,3.4,12.2
Cedric Henderson,SF,26,GSW,12,0,70,7.7,15.9,.484,1.0,2.1,.500,6.7,13.9,.481,2.1,3.6,.571,0.5,1.0,1.5,2.1,3.1,1.0,4.1,2.1,18.5
Grant Hill*,SF,29,ORL,14,14,512,5.8,13.7,.426,0.0,0.1,.000,5.8,13.6,.430,4.9,5.6,.863,2.0,6.8,8.8,4.5,0.6,0.3,2.6,2.8,16.5
Tyrone Hill,PF,33,CLE,26,26,810,3.2,8.1,.390,0.0,0.0,.000,3.2,8.0,.392,3.0,4.6,.650,3.5,8.7,12.2,1.0,0.8,0.6,2.1,4.5,9.3
Fred Hoiberg,SG,29,CHI,79,8,1408,3.1,7.4,.416,0.6,2.4,.261,2.5,5.1,.487,2.0,2.4,.840,0.5,4.9,5.4,3.5,1.6,0.1,0.8,2.2,8.8
Robert Horry,PF,31,LAL,81,23,2140,3.1,7.7,.398,1.3,3.4,.374,1.8,4.3,.416,1.8,2.3,.783,2.2,5.9,8.1,3.9,1.3,1.5,1.5,3.5,9.3
Eddie House,PG,23,MIA,64,3,1230,6.1,15.3,.399,1.6,4.6,.344,4.5,10.7,.422,1.2,1.4,.857,0.5,2.7,3.2,3.6,1.3,0.1,2.3,2.9,15.0
Allan Houston,SG,30,NYK,77,77,2914,7.0,16.1,.437,1.7,4.3,.393,5.3,11.8,.452,3.6,4.2,.870,0.5,2.7,3.1,2.3,0.7,0.1,2.1,2.2,19.4
Juwan Howard,PF,28,TOT,81,72,2635,6.3,13.7,.460,0.0,0.0,.000,6.3,13.7,.461,3.6,4.7,.761,3.0,5.3,8.4,2.3,0.6,0.6,2.1,3.6,16.2
Juwan Howard,PF,28,DAL,53,44,1659,5.9,12.7,.462,0.0,0.0,.000,5.9,12.7,.462,3.1,4.1,.754,3.0,5.5,8.5,2.0,0.6,0.7,1.7,3.7,14.8
Juwan Howard,PF,28,DEN,28,28,976,7.1,15.5,.457,0.0,0.0,.000,7.1,15.5,.458,4.3,5.6,.770,3.1,5.1,8.2,2.8,0.7,0.6,2.7,3.5,18.5
Troy Hudson,PG,25,ORL,81,4,1854,6.9,15.8,.434,1.3,3.6,.353,5.6,12.2,.459,3.4,3.9,.876,0.6,2.2,2.8,5.0,1.1,0.1,3.2,2.3,18.4
Larry Hughes,SG,23,GSW,73,56,2049,6.0,14.2,.423,0.3,1.6,.194,5.7,12.6,.453,3.4,4.6,.737,1.5,2.8,4.3,5.6,2.0,0.4,3.0,2.6,15.7
Lindsey Hunter,PG,31,LAL,82,47,1616,4.2,10.9,.382,1.8,4.6,.380,2.4,6.3,.383,0.4,0.9,.500,0.4,2.3,2.7,2.9,1.5,0.4,1.2,2.7,10.5
Steven Hunter,C,20,ORL,53,21,516,4.7,10.3,.456,0.0,0.0, ,4.7,10.3,.456,3.8,6.6,.585,2.8,4.0,6.8,0.3,0.3,3.0,1.1,5.7,13.2
Zydrunas Ilgauskas,C,26,CLE,62,23,1329,6.5,15.4,.425,0.0,0.1,.000,6.5,15.2,.429,5.6,7.5,.754,3.7,5.4,9.0,1.9,0.5,2.3,2.5,5.1,18.7
Allen Iverson*,SG,26,PHI,60,59,2622,9.1,22.9,.398,1.1,3.7,.291,8.1,19.2,.419,6.5,8.0,.812,0.6,3.1,3.7,4.5,2.3,0.2,3.3,1.4,25.9
Bobby Jackson,PG,28,SAC,81,3,1750,6.9,15.5,.443,1.6,4.5,.361,5.2,11.0,.477,3.1,3.8,.810,1.7,3.5,5.2,3.4,1.5,0.2,1.9,3.0,18.4
Jaren Jackson,SG,34,ORL,9,0,144,3.7,9.2,.405,1.7,5.0,.350,2.0,4.2,.471,0.5,1.0,.500,0.2,4.0,4.2,2.0,1.2,0.0,2.0,3.2,9.7
Jermaine Jackson,SG,25,TOR,24,0,280,2.6,5.4,.476,0.1,0.3,.500,2.4,5.1,.475,2.1,3.1,.667,0.4,3.1,3.5,7.3,1.2,0.1,1.8,3.1,7.3
Jim Jackson,SF,31,MIA,55,19,1825,4.7,10.6,.442,0.7,1.6,.469,3.9,9.0,.438,1.5,1.7,.862,1.1,4.7,5.7,2.8,0.8,0.3,2.1,2.9,11.6
Marc Jackson,C,27,TOT,39,0,495,4.4,11.9,.366,0.0,0.1,.000,4.4,11.9,.368,4.8,5.8,.825,3.5,5.8,9.3,1.0,0.8,0.4,2.2,5.0,13.5
Marc Jackson,C,27,GSW,17,0,169,4.7,13.8,.338,0.0,0.0, ,4.7,13.8,.338,8.5,10.2,.833,3.6,5.5,9.2,1.5,1.1,0.6,2.6,5.3,17.9
Marc Jackson,C,27,MIN,22,0,326,4.2,10.9,.384,0.0,0.1,.000,4.2,10.8,.388,2.9,3.5,.813,3.4,6.0,9.4,0.8,0.7,0.3,2.0,4.9,11.3
Mark Jackson,PG,36,NYK,82,82,2367,4.0,9.0,.439,1.2,3.0,.405,2.8,6.0,.456,1.3,1.7,.791,0.9,3.8,4.7,9.2,1.1,0.0,2.3,2.5,10.4
Stephen Jackson,SF,23,SAS,23,1,227,5.4,14.4,.374,1.4,5.7,.250,4.0,8.7,.455,1.9,2.7,.706,0.5,3.6,4.1,1.7,2.4,0.5,3.6,4.6,14.1
Jerome James,C,26,SEA,56,40,949,5.1,10.4,.491,0.0,0.0, ,5.1,10.4,.491,1.1,2.3,.500,3.4,5.4,8.8,0.9,0.9,3.3,2.8,6.6,11.3
Mike James,PG,26,MIA,15,0,119,4.5,13.0,.349,2.4,6.4,.381,2.1,6.7,.318,1.2,2.1,.571,0.6,3.6,4.2,5.7,1.8,0.3,3.9,5.1,12.7
Tim James,SF,25,PHI,9,0,41,4.4,11.4,.385,0.0,0.0, ,4.4,11.4,.385,1.8,5.3,.333,4.4,1.8,6.1,0.9,0.0,0.9,2.6,4.4,10.5
Antawn Jamison,SF,25,GSW,82,82,3033,7.3,16.3,.447,0.8,2.5,.324,6.5,13.8,.469,3.8,5.2,.734,2.5,4.1,6.6,1.9,0.8,0.5,1.9,2.2,19.2
Harold Jamison,PF,25,LAC,25,2,176,4.5,8.8,.512,0.0,0.0, ,4.5,8.8,.512,2.0,3.1,.667,4.9,3.1,8.0,1.2,1.0,0.2,1.2,4.7,11.0
Richard Jefferson,SF,21,NJN,79,9,1917,5.1,11.1,.457,0.2,1.1,.232,4.8,10.0,.480,3.5,5.0,.713,1.6,3.9,5.5,2.6,1.2,0.9,2.0,4.0,13.9
Anthony Johnson,SG,27,NJN,34,0,366,3.6,8.9,.411,0.4,1.2,.333,3.2,7.7,.423,1.6,2.5,.640,1.0,1.9,2.9,4.7,3.0,0.1,2.0,3.0,9.2
Avery Johnson,PG,36,TOT,68,13,1352,5.5,11.5,.479,0.0,0.1,.000,5.5,11.4,.485,3.2,4.3,.742,0.4,1.5,1.8,7.6,1.1,0.2,2.0,2.3,14.2
Avery Johnson,PG,36,DEN,51,13,1200,5.6,11.5,.486,0.0,0.1,.000,5.6,11.3,.492,3.3,4.4,.747,0.4,1.5,1.9,7.7,1.0,0.2,2.0,2.1,14.4
Avery Johnson,PG,36,DAL,17,0,152,5.0,11.6,.429,0.0,0.0, ,5.0,11.6,.429,2.8,4.0,.706,0.0,1.2,1.2,6.6,1.2,0.2,2.1,4.0,12.8
DerMarr Johnson,SF,21,ATL,72,46,1727,4.5,11.3,.396,1.9,5.1,.360,2.6,6.1,.427,1.8,2.2,.810,1.2,3.9,5.1,1.7,1.3,1.2,2.1,3.4,12.5
Ervin Johnson,C,34,MIL,81,9,1660,1.9,4.2,.461,0.0,0.0,.000,1.9,4.2,.464,0.7,1.4,.455,3.1,7.0,10.1,0.6,0.8,1.8,1.1,4.7,4.5
Joe Johnson,SG,20,TOT,77,60,1916,4.7,11.0,.430,0.7,2.4,.292,4.0,8.5,.469,0.8,1.0,.774,1.4,3.4,4.8,3.4,1.1,0.4,1.3,2.1,10.9
Joe Johnson,SG,20,BOS,48,33,1003,4.7,10.6,.439,0.9,3.2,.273,3.8,7.5,.510,0.7,0.9,.769,1.4,3.6,5.0,2.7,1.2,0.3,1.0,2.1,10.9
Joe Johnson,SG,20,PHO,29,27,913,4.8,11.4,.420,0.6,1.7,.333,4.2,9.7,.435,0.8,1.1,.778,1.4,3.3,4.7,4.1,1.0,0.4,1.7,2.2,10.9
Alvin Jones,C,23,PHI,23,2,126,2.3,5.7,.400,0.0,0.0, ,2.3,5.7,.400,2.9,5.7,.500,3.7,6.6,10.3,0.9,0.9,2.6,3.1,10.0,7.4
Damon Jones,PG,25,DET,67,0,1083,3.8,9.4,.401,2.3,6.2,.371,1.5,3.3,.459,1.4,2.0,.729,0.4,3.0,3.4,4.7,0.8,0.0,2.0,2.8,11.3
Eddie Jones,SG,30,MIA,81,81,3156,5.9,13.7,.432,1.7,4.4,.390,4.2,9.3,.451,3.4,4.0,.837,0.7,3.6,4.3,3.0,1.3,0.9,1.7,2.9,16.9
Jumaine Jones,PF,22,CLE,81,36,2142,4.8,10.8,.448,0.9,2.8,.310,3.9,7.9,.498,0.8,1.1,.662,2.1,6.1,8.2,1.9,1.3,0.8,1.3,3.1,11.3
Popeye Jones,PF,31,WAS,79,40,1920,4.2,9.5,.437,0.1,0.2,.364,4.1,9.3,.439,2.0,2.4,.815,4.4,6.5,10.8,2.4,0.9,0.4,1.6,3.9,10.4
Michael Jordan*,SF,38,WAS,60,53,2093,9.5,22.8,.416,0.2,0.9,.189,9.3,21.9,.426,4.5,5.7,.790,0.9,5.0,5.8,5.3,1.5,0.4,2.8,2.0,23.7
Shawn Kemp,PF,32,POR,75,5,1232,5.1,11.9,.430,0.0,0.1,.000,5.1,11.8,.434,3.0,3.8,.794,2.6,5.8,8.4,1.5,1.3,1.0,2.4,5.4,13.3
Steve Kerr,PG,36,POR,65,0,775,4.7,10.1,.470,1.2,3.1,.394,3.5,7.0,.503,1.8,1.9,.975,0.3,2.5,2.8,2.9,0.6,0.0,1.1,2.3,12.5
