Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Slater Martin*,PG,25,MNL,68, , ,3.3,9.2,.362, , , ,3.3,9.2,.362,.362,1.8,2.6,.684, , ,3.6,3.5, , , ,2.9,8.5
Ariel Maughan,F,27,WSC,35, , ,2.2,7.1,.312, , , ,2.2,7.1,.312,.312,2.8,3.5,.797, , ,4.0,1.4, , , ,2.6,7.3
Dick McGuire*,PG,25,NYK,64, , ,2.8,7.5,.371, , , ,2.8,7.5,.371,.371,2.8,4.3,.649, , ,5.2,6.3, , , ,2.4,8.4
Bones McKinney,SF,32,TOT,44, , ,2.3,7.4,.312, , , ,2.3,7.4,.312,.312,1.3,1.8,.716, , ,4.5,1.9, , , ,3.1,6.0
Bones McKinney,SF,32,WSC,10, , ,1.2,4.3,.279, , , ,1.2,4.3,.279,.279,0.3,0.7,.429, , ,1.9,0.6, , , ,1.4,2.7
Bones McKinney,SF,32,BOS,34, , ,2.6,8.4,.317, , , ,2.6,8.4,.317,.317,1.6,2.2,.743, , ,5.3,2.3, , , ,3.6,6.9
Mal McMullen,F-C,23,INO,51, , ,1.5,5.4,.282, , , ,1.5,5.4,.282,.282,0.9,1.6,.585, , ,2.5,0.6, , , ,2.1,4.0
Joe McNamee,SF,24,ROC,60, , ,0.8,2.8,.287, , , ,0.8,2.8,.287,.287,0.5,0.7,.643, , ,1.7,0.3, , , ,1.5,2.1
Dick Mehen,PF,28,TOT,66, , ,2.9,8.1,.361, , , ,2.9,8.1,.361,.361,1.4,1.9,.732, , ,3.4,1.8, , , ,2.3,7.2
Dick Mehen,PF,28,BLB,16, , ,3.6,10.6,.335, , , ,3.6,10.6,.335,.335,2.3,3.2,.725, , ,4.8,3.4, , , ,2.6,9.4
Dick Mehen,PF,28,BOS,7, , ,2.4,7.4,.327, , , ,2.4,7.4,.327,.327,1.4,2.1,.667, , ,3.7,1.6, , , ,2.0,6.3
Dick Mehen,PF,28,FTW,43, , ,2.7,7.2,.381, , , ,2.7,7.2,.381,.381,1.0,1.3,.754, , ,2.8,1.2, , , ,2.2,6.5
Ed Mikan,C-F,25,TOT,61, , ,3.2,9.1,.347, , , ,3.2,9.1,.347,.347,2.2,3.1,.725, , ,5.6,1.0, , , ,3.2,8.6
Ed Mikan,C,25,ROC,10, , ,1.7,6.2,.274, , , ,1.7,6.2,.274,.274,0.9,1.2,.750, , ,2.5,0.2, , , ,2.1,4.3
Ed Mikan,C,25,WSC,18, , ,3.0,9.6,.312, , , ,3.0,9.6,.312,.312,2.9,4.1,.712, , , ,2.0, , , ,3.6,8.9
Ed Mikan,C,25,PHW,33, , ,3.7,9.7,.380, , , ,3.7,9.7,.380,.380,2.3,3.2,.731, , , ,0.8, , , ,3.3,9.7
George Mikan*,C,26,MNL,68, , ,10.0,23.3,.428, , , ,10.0,23.3,.428,.428,8.5,10.5,.803, , ,14.1,3.1, , , ,4.5,28.4
Vern Mikkelsen*,PF,22,MNL,64, , ,5.6,14.0,.402, , , ,5.6,14.0,.402,.402,2.9,4.3,.676, , ,10.2,2.8, , , ,4.1,14.1
Leo Mogus,F-C,29,PHW,57, , ,0.8,2.1,.352, , , ,0.8,2.1,.352,.352,0.9,1.5,.616, , ,1.8,0.6, , , ,1.1,2.4
Chuck Mrazovich,F,26,INO,25, , ,1.1,3.2,.350, , , ,1.1,3.2,.350,.350,1.2,1.9,.604, , ,1.6,0.5, , , ,2.1,3.4
Ken Murray,G-F,22,TOT,66, , ,4.6,13.4,.339, , , ,4.6,13.4,.339,.339,3.8,5.0,.747, , ,5.4,3.1, , , ,2.5,12.9
Ken Murray,SG,22,BLB,52, , ,4.9,14.0,.349, , , ,4.9,14.0,.349,.349,3.9,5.3,.742, , , ,2.9, , , ,2.7,13.7
Ken Murray,SG,22,FTW,14, , ,3.4,11.4,.294, , , ,3.4,11.4,.294,.294,3.1,4.1,.772, , , ,3.8, , , ,1.7,9.9
Jack Nichols,PF,24,TRI,6, , ,4.5,13.2,.342, , , ,4.5,13.2,.342,.342,2.7,3.5,.762, , ,10.5,2.5, , , ,3.8,11.7
Paul Noel,F,26,ROC,52, , ,0.9,3.3,.282, , , ,0.9,3.3,.282,.282,0.6,0.9,.711, , ,1.6,0.7, , , ,1.2,2.5
Johnny Norlander,F,29,WSC,9, , ,0.7,1.8,.375, , , ,0.7,1.8,.375,.375,1.0,1.6,.643, , ,1.0,0.6, , , ,1.6,2.3
Dick O'Keefe,G-F,27,WSC,17, , ,1.2,6.0,.206, , , ,1.2,6.0,.206,.206,1.5,2.3,.641, , ,2.2,1.5, , , ,2.8,3.9
Tommy O'Keefe,G,22,TOT,6, , ,1.7,4.7,.357, , , ,1.7,4.7,.357,.357,0.5,0.7,.750, , ,1.2,1.7, , , ,0.8,3.8
Tommy O'Keefe,G,22,WSC,3, , ,1.7,4.3,.385, , , ,1.7,4.3,.385,.385,0.7,1.0,.667, , ,1.3,0.7, , , ,0.3,4.0
Tommy O'Keefe,G,22,BLB,3, , ,1.7,5.0,.333, , , ,1.7,5.0,.333,.333,0.3,0.3,1.000, , ,1.0,2.7, , , ,1.3,3.7
Kevin O'Shea,G,25,MNL,63, , ,1.4,4.2,.326, , , ,1.4,4.2,.326,.326,1.5,2.1,.724, , ,2.0,1.6, , , ,1.6,4.3
John Oldham,G,27,FTW,68, , ,2.9,8.8,.333, , , ,2.9,8.8,.333,.333,2.5,4.3,.586, , ,3.6,1.9, , , ,3.6,8.4
Don Otten,C,29,TOT,67, , ,2.4,7.1,.338, , , ,2.4,7.1,.338,.338,3.7,4.6,.799, , ,6.0,0.9, , , ,3.8,8.5
Don Otten,C,29,WSC,16, , ,2.3,7.9,.291, , , ,2.3,7.9,.291,.291,4.6,5.8,.796, , ,6.6,1.4, , , ,3.8,9.3
Don Otten,C,29,BLB,2, , ,1.5,7.5,.200, , , ,1.5,7.5,.200,.200,2.5,4.5,.556, , ,1.5,1.5, , , ,2.5,5.5
Don Otten,C,29,FTW,49, , ,2.5,6.9,.362, , , ,2.5,6.9,.362,.362,3.4,4.2,.811, , ,6.0,0.8, , , ,3.9,8.4
